id,raw_context,entity
3080,常见的旋转对称图形有：线段、正多边形、平行四边形、圆等。,"平行四边形,正多边形,线段,对称,旋转,圆"
3081,结果，空集是集合和函数的范畴的唯一初始对象。,"结果,集合,函数,空集"
3082,并不是任何两个函数都可以复合成一个复合函数，若D为空集，则和函数不能复合 。,"复合函数,函数,空集"
3083,"OO′=R-r(R是扇形半径,r是内切圆半径)。","内切圆,半径,扇形"
3084,"与扇形⌒AOB的圆弧⌒AB及两条半径OA,OB都相切的圆叫扇形的内切圆。","内切圆,圆弧,半径,相切,扇形,圆"
3085,内切圆圆心O′在扇形的圆心角AOB的角平分线上。,"角平分线,内切圆,圆心角,扇形,圆心"
3086,"如果两个三角形的三个角对应相等、三条边对应成比例,这两个三角形叫做相似三角形,对应边的比叫做相似比(或相似系数),当相似比等于1时,这两个相似三角形是全等三角形。","相似三角形,全等三角形,相似系数,成比例,对应边,三角形,相似比"
3087,三角分别相等，三边成比例的两个三角形叫做相似三角形相似三角形是几何中重要的证明模型之一，是全等三角形的推广。,"相似三角形,全等三角形,成比例,三角形,几何"
3088,无论是函数图象还是折线图，都要在平面直角坐标系上画出相应的线形图，尽管这两种图形有着本质的不同。,"平面直角坐标系,折线图,函数"
3089,如图，这2个函数互相垂直，但若直接证明，存在困难，不易理解，如果平移平面直角坐标系，使这2个函数的交点交于原点，就会更简单。,"平面直角坐标系,互相垂直,平移,原点,函数,交点"
3090,当平面直角坐标系中两直线平行时，其函数解析式中K值（即一次项系数）相等。,"平面直角坐标系,解析式,一次项,平行,系数,函数,直线"
3091,在平面直角坐标系中表示水平的数轴，箭头向右（即x轴，x轴上的实数表示横坐标），在函数中表示自变量。,"平面直角坐标系,横坐标,自变量,实数,x轴,数轴,函数"
3092,"当平面直角坐标系中两直线平行时,其函数解析式中k的值(即一次项系数)相等。","平面直角坐标系,解析式,一次项,平行,系数,函数,直线"
3093,当平面直角坐标系中两直线垂直时，其函数解析式中k的值互为相反数。,"平面直角坐标系,相反数,解析式,垂直,函数,直线"
3094,关于平面直角坐标系中两直线垂直时，其函数解析式中K值互为相反数的证明。,"平面直角坐标系,相反数,解析式,垂直,函数,直线"
3095,当平面直角坐标系中两直线平行时，其函数解析式中k的值（即一次项系数）相等。,"平面直角坐标系,解析式,一次项,平行,系数,函数,直线"
3096,当平面直角坐标系中两直线垂直时，其函数解析式中k的值互为负倒数（即两个k值的乘积为-1）。,"平面直角坐标系,解析式,乘积,垂直,倒数,函数,直线"
3097,当平面直角坐标系中两直线垂直时，其函数解析式中K值互为负倒数。,"平面直角坐标系,解析式,垂直,倒数,函数,直线"
3098,"当平面直角坐标系中两直线垂直时,其函数解析式中k的值互为相反数。","平面直角坐标系,相反数,解析式,垂直,函数,直线"
3099,函数图象是代数领域的平面直角坐标系上的图形，用来直观地研究函数的性质及解决间题。,"平面直角坐标系,函数,代数,直观"
3100,在平面直角坐标系中表示垂直的数轴，箭头向上（即y轴，y轴上的实数表示纵坐标），在函数中表示因变量。,"平面直角坐标系,因变量,纵坐标,垂直,实数,y轴,数轴,函数"
3101,分解质因数对解决一些自然数和乘积的问题有很大的帮助，同时又为求最大公约数和最小公倍数做了重要的铺垫。,"最小公倍数,最大公约数,质因数,自然数,乘积,分解"
3102,把几个数先分别分解质因数，再把各数中的全部公有的质因数和独有的质因数提取出来连乘，所得的积就是这几个数的最小公倍数。,"最小公倍数,质因数,分解"
3103,一个正整数和一个真分数合并成的分数叫做带分数，从本质上看，不能把带分数作为分数的一种，带分数是假分数的一种形式。,"正整数,真分数,假分数,带分数,分数"
3104,分数的三种类型：真分数，假分数，带分数。,"真分数,假分数,带分数,分数"
3105,事情的起因是这样的：一群真分数和假分数开玩笑说：“我们真分数都长得和国王一样。,"真分数,假分数"
3106,”没想到，这句玩笑话竟激怒了假分数们，他们集结起来，很快占领了都城的西边，要与真分数决一死战，而真分数也毫不示弱，守着都城的东边，准备应战。,"真分数,假分数"
3107,他分别赶到都城的东边和西边，对真分数、假分数耐心地劝说：“你们都是分数王国的臣民，世代和睦相处。,"真分数,假分数,分数"
3108,假分数和真分数相对，通常也是在正数的范围内讨论的。,"真分数,假分数,范围,正数"
3109,把单位“1”平均分成若干份，表示这样的一份或几份的数叫做真分数如：或，也可能成为假分数，也就是分子大于或者等于分母，例如。,"真分数,假分数,平均,分母,单位,分子"
3110,比值小于1的分数，即分子小于分母（二者都是正整数）的分数称为真分数，但等于1不算（那属于假分数）。,"正整数,真分数,假分数,分数,分母,分子"
3111,分数分为两类：真分数和假分数。,"真分数,假分数,分数"
3112,反比例函数图象是中心对称图形，对称中心是原点。,"中心对称图形,反比例函数,对称中心,原点"
3113,反比例函数的图象也是轴对称图形，其对称轴为y=x或y=-x。,"轴对称图形,反比例函数,对称轴"
3114,反比例函数图象上的点关于坐标原点对称。,"反比例函数,坐标原点,对称"
3115,"反比例函数图象是中心对称图形,对称中心是原点。","中心对称图形,反比例函数,对称中心,原点"
3116,"反比例函数的图象也是轴对称图形,其对称轴为y=x或y=-x。","轴对称图形,反比例函数,对称轴"
3117,反比例函数图象上的点关于坐标原点对称。,"反比例函数,坐标原点,对称"
3118,"反比例函数的图象也是轴对称图形,其对称轴为y=x或y=-x。","轴对称图形,反比例函数,对称轴"
3119,"如果一个数的立方等于a,那么这个数叫做a的立方根,ɑ叫做被开方数。","被开方数,立方根,立方"
3120,（3）比较被开方数，立方根大者大。,"被开方数,立方根"
3121,"比较被开方数,立方根大者大。","被开方数,立方根"
3122,一个质数和一个合数，这两个数不是倍数关系时互质。,"互质,质数,合数,倍数"
3123,"根据因式分解与整式乘法的关系,把各项系数直接带入求根公式,可避免配方过程而直接得出根,这种解一元二次方程的方法叫做公式法。","一元二次方程,求根公式,因式分解,公式法,系数,配方,乘法,整式"
3124,因式分解要求每个因式必须是整式。,"因式分解,因式,整式"
3125,"把一个多项式化为几个最简整式的乘积的形式,这种变形叫做把这个多项式因式分解(也叫作分解因式)。","多项式因式分解,分解因式,多项式,乘积,整式"
3126,"把一个多项式在一个范围化为几个整式的积的形式,这种式子变形叫做这个多项式的因式分解,也叫作把这个多项式分解因式。","分解因式,因式分解,多项式,范围,整式"
3127,根据因式分解与整式乘法的关系，把各项系数直接带入求根公式，可避免配方过程而直接得出根，这种解一元二次方程的方法叫做公式法。,"一元二次方程,求根公式,因式分解,公式法,系数,配方,乘法,整式"
3128,②如果各分母都是多项式，就可以将各个分母因式分解，取各分母数字系数的最小公倍数，凡出现的字母（或含字母的整式）为底数的幂的因式都要取最高次幂。,"最小公倍数,因式分解,多项式,系数,因式,分母,底数,整式,幂"
3129,把一个多项式在一个范围化为几个整式的积的形式，这种式子变形叫做这个多项式的因式分解，也叫作把这个多项式分解因式。,"分解因式,因式分解,多项式,范围,整式"
3130,因式分解：把一个多项式化为几个最简整式的乘积的形式，这种变形叫做把这个多项式因式分解（也叫作分解因式）。,"多项式因式分解,分解因式,因式分解,多项式,乘积,整式"
3131,"把一个多项式化为几个整式积的形式,这种变形叫做把这个因式分解。","因式分解,多项式,整式"
3132,把一个多项式化成几个整式乘积的形式，这种变形叫做分解因式，又叫做因式分解。,"分解因式,因式分解,多项式,乘积,整式"
3133,把一个多项式在一个范围(如实数范围内分解，即所有项均为实数)化为几个整式的积的形式，这种式子变形叫做这个多项式的因式分解，也叫作把这个多项式分解因式。,"分解因式,因式分解,多项式,实数,范围,整式,分解"
3134,"把一个多项式化成了几个整式的积的形式,像这样的式子变形叫做把这个多项式因式分解,也叫做把这个多项式分解因式。","多项式因式分解,分解因式,多项式,整式"
3135,把一个多项式化成了几个整式的积的形式，像这样的式子变形叫做把这个多项式因式分解，也叫做把这个多项式分解因式。,"多项式因式分解,分解因式,多项式,整式"
3136,"把一个多项式在一个范围(如实数范围内分解,即所有项均为实数)化为几个整式的积的形式,这种式子变形叫做这个多项式的因式分解,也叫作把这个多项式分解因式。","分解因式,因式分解,多项式,实数,范围,整式,分解"
3137,"因式分解把一个多项式化为几个最简整式的乘积的形式,这种变形叫做把这个多项式因式分解(也叫作分解因式)。","多项式因式分解,分解因式,因式分解,多项式,乘积,整式"
3138,把一个多项式化为几个整式的积的形式，这种变形叫做把这个多项式因式分解，也叫作分解因式。,"多项式因式分解,分解因式,多项式,整式"
3139,证明与自然数n有关的不等式时，可用数学归纳法证之。,"数学归纳法,不等式,自然数"
3140,这时我们不妨用大数减去若干个小数后所得的差去约分，即493一145x3=58，把58分解因数，58=29x2，再用29试除可知，29是分子、分母的因数，约分可得。,"因数,小数,分母,分子,约分,分解"
3141,最简分数化小数是先看分母的素因数有哪些，如果只有2和5，那么就能化成有限小数，如果不是，就不能化成有限小数。,"最简分数,有限小数,因数,小数,分母"
3142,百分号：表示分数的分母是100的符号（%），如32%表示一百分之三十二，相当于小数的0。,"分数,小数,分母"
3143,2、利用分数与除法的关系：分子/分母=小数。,"分数,小数,除法,分母,分子"
3144,在计算机领域中：百分号表示分数的分母是100的符号（%），如32%表示一百分之三十二，相当于小数的0。,"分数,小数,分母"
3145,如是混循环小数，循环节有几位，分母就有几个9。,"混循环小数,循环节,分母"
3146,不循环的数字有几位，9后面就有几个0，分子是第二个循环节以前的小数部分组成的数与小数部分中不循环部分组成的数的差。,"循环的,循环节,小数,分子"
3147,有限小数化分数，小数部分有几个零就有几位分母。,"有限小数,分数,小数,分母"
3148,1、利用分数与除法的关系：分子/分母=小数（即）。,"分数,小数,除法,分母,分子"
3149,1、分母是2、4、8等，利用分数的基本性质，分母和分子同时乘以5、25、125等数，分母就转成10、100、1000的数，直接换成小数。,"分数,小数,乘以,分母,分子"
3150,分数、小数和百分比的读法。,"分数,分比,小数"
3151,分数中分子用基数词表示、分母用序数词表示。,"分数,基数,分母,分子"
3152,①用分子除以分母，化成小数后，再化成百分数。,"百分数,除以,小数,分母,分子"
3153,坐标系中的轴对称变换与中心对称变换。,"变换,坐标,对称"
3154,常见的三角形按边分有普通三角形（三条边都不相等），等腰三角（腰与底不等的等腰三角形、腰与底相等的等腰三角形即等边三角形）。,"等边三角形,等腰三角形,三角形,不等,腰"
3155,按角分有直角三角形、锐角三角形、钝角三角形等，其中锐角三角形和钝角三角形统称斜三角形。,"钝角三角形,锐角三角形,直角三角形,斜三角形"
3156,（2）如果两个图形成轴对称，那么对称轴是对称点连线的垂直平分线。,"垂直平分线,对称轴,对称点,对称"
3157,定理2：如果两个图形关于某条直线对称，那么对称轴是对应点连线的垂直平分线。,"垂直平分线,对称轴,定理,对称,直线"
3158,先引入点关于直线对称的概念：如果点A、B在直线的两侧，且是线段AB的垂直平分线，则称点A、B关于直线互相对称，点A、B互称为关于直线的对称点，直线叫做对称轴。,"垂直平分线,对称轴,对称点,线段,对称,直线"
3159,对称轴的条数：角有一条对称轴，即该角的角平分线。,"角平分线,对称轴"
3160,等腰三角形有一条对称轴，是底边的垂直平分线。,"等腰三角形,垂直平分线,对称轴"
3161,等边三角形有三条对称轴，分别是三边上的垂直平分线。,"等边三角形,垂直平分线,对称轴"
3162,菱形有两条对称轴，分别是两条对角线所在的直线，矩形有两条对称轴分别是两组对边中点的直线。,"对称轴,对角线,中点,矩形,菱形,对边,直线"
3163,"如果两个图形关于某条直线对称,那么对称轴是对应点连线的垂直平分线。","垂直平分线,对称轴,对称,直线"
3164,垂直平分线是线段的一条对称轴。,"垂直平分线,对称轴,线段"
3165,"如果点A,B在直线l的两侧,且l是线段AB的垂直平分线,则称点A,B关于直线互相对称,点A,B互称为关于直线的对称点,直线l叫做对称轴。","垂直平分线,对称轴,对称点,线段,对称,直线"
3166,轴对称图形的对称轴是对称图形中任意两个对应点连线段的垂直平分线。,"轴对称图形,垂直平分线,对称轴,线段,对称"
3167,"如果两个图形关于某直线对称,那么对称轴是对应点连线的垂直平分线。","垂直平分线,对称轴,对称,直线"
3168,如果两个图形关于某条直线对称，那么对称轴是任何一对对应点所连线段的垂直平分线。,"垂直平分线,对称轴,线段,对称,直线"
3169,对称轴：自身所在直线。,"对称轴,直线"
3170,自身所在直线的垂直平分线。,"垂直平分线,直线"
3171,43定理2如果两个图形关于某直线对称，那么对称轴是对应点连线的垂直平分线。,"垂直平分线,对称轴,定理,对称,直线"
3172,（3）运用抛物线的对称性：由于抛物线是以对称轴为轴的轴对称图形，所以对称轴的连线的垂直平分线是抛物线的对称轴，对称轴与抛物线的交点是顶点。,"轴对称图形,垂直平分线,对称性,对称轴,抛物线,顶点,交点"
3173,轴对称图形的对称轴是对称图形中任意两个对应点连线段的垂直平分线。,"轴对称图形,垂直平分线,对称轴,线段,对称"
3174,"如果两个图形关于某条直线对称,那么对称轴是任何一对对应点所连线段的垂直平分线。","垂直平分线,对称轴,线段,对称,直线"
3175,"类似地,轴对称图形的对称轴,是任何一对对应点所连线段的垂直平分线。","轴对称图形,垂直平分线,对称轴,线段"
3176,"运用抛物线的对称性:由于抛物线是以对称轴为轴的轴对称图形,所以对称轴的连线的垂直平分线是抛物线的对称轴,对称轴与抛物线的交点是顶点。","轴对称图形,垂直平分线,对称性,对称轴,抛物线,顶点,交点"
3177,垂直平分线可以看成到线段两个端点距离相等的点的集合，垂直平分线是线段的一条对称轴。,"垂直平分线,对称轴,线段,集合,端点,距离"
3178,类似地，轴对称图形的对称轴，是任何一对对应点所连线段的垂直平分线。,"轴对称图形,垂直平分线,对称轴,线段"
3179,百分号：表示分数的分母是100的符号（%），如32%表示一百分之三十二，相当于小数的0。,"分数,小数,分母"
3180,在计算机领域中：百分号表示分数的分母是100的符号（%），如32%表示一百分之三十二，相当于小数的0。,"分数,小数,分母"
3181,%是百分号，它代表的含义是：把某个整体平均分为100份，其中一部分占有的份数，即一个分数分母是100时的表示方法，也可以写成x/100。,"分数,平均,分母"
3182,事实上，b有其自身的几何意义：二次函数图象与y轴的交点处的该二次函数图像切线的函数解析式（一次函数）的斜率k的值。,"一次函数,二次函数,解析式,y轴,几何,函数,切线,交点,斜率"
3183,一般式，顶点式，交点式，等，区分对称轴，顶点，图像，y随着x的增大而减小（增大）(增减值）等的差异性。,"对称轴,一般式,顶点,交点"
3184,"正数有无数个,包括正有理数和正无理数,正有理数又包括正整数和正分数。","正整数,正分数,无理数,有理数,正数"
3185,"正数即正实数,它包括正整数,正分数(含正小数),正无理数。","正整数,正实数,正分数,无理数,小数,正数"
3186,正数包括：正整数和正分数。,"正整数,正分数,正数"
3187,分数也可做正数，如：2/5。,"分数,正数"
3188,分数指数幂是一个数的指数为分数，正数的分数指数幂是根式的另一种表示形式。,"分数指数,分数,正数,根式,指数,幂"
3189,正数即正实数，它包括正整数、正分数(含正小数)、正无理数。,"正整数,正实数,正分数,无理数,小数,正数"
3190,"一般形式y=ax^2+bx+c,称为一元二次方程的一般式,ax^2叫做二次项,a是二次项系数。","一元二次方程,一般式,二次项,系数"
3191,"bx叫做一次项,b是一次项系数。","一次项,系数"
3192,在一元二次方程或二次函数中，二次项系数的作用是决定函数图像的开口方向和开口大小，同时也运用在分析和求解二次不等式的根中。,"一元二次方程,二次不等式,二次函数,二次项,系数,函数"
3193,配方法的关键是：先将一元二次方程的二次项系数化为1，然后在方程两边同时加上一次项系数一半的平方。,"一元二次方程,一次项,配方法,二次项,系数,方程,平方"
3194,一元二次方程经过整理都可化成一般形式ax²+bx+c=0。,一元二次方程
3195,"其中ax²叫作二次项,a是二次项系数。","二次项,系数"
3196,"bx叫作一次项,b是一次项系数。","一次项,系数"
3197,小结：一般解一元二次方程，最常用的方法还是因式分解法，在应用因式分解法时，一般要先将方程写成一般形式，同时应使二次项系数化为正数。,"一元二次方程,因式分解法,一般解,二次项,系数,方程,正数"
3198,有理数的小数部分是有限或为无限循环的数。,"循环的,有理数,有限,小数,无限"
3199,计算一个数的小数次方，如果那个小数是有理数，就把它化为（即分数）的形式。,"有理数,分数,小数"
3200,"不是有理数的实数称为无理数,即无理数的小数部分是无限不循环的数。","循环的,无理数,有理数,实数,小数,无限"
3201,在数的十进制小数表示系统中，有理数就是可表示为有限小数或无限循环小数的数。,"有限小数,循环小数,十进制,有理数,小数,无限"
3202,"整数和小数的集合也是实数,实数的定义是:有理数和无理数的集合。","无理数,有理数,定义,集合,整数,实数,小数"
3203,大臣说：“对呀，我还有一个更重要的发现，原来整数、分数和小数都叫做有理数。,"有理数,分数,整数,小数"
3204,整数和小数的集合也是实数，实数的定义是：有理数和无理数的集合。,"无理数,有理数,定义,集合,整数,实数,小数"
3205,而整数和分数统称有理数，小数分为有限小数，无限循环小数，无限不循环小数（即无理数），其中有限小数和无限循环小数均能化为分数，所以小数即为分数和无理数的集合，加上整数，即为整数-分数-无理数，也就是有理数-无理数，即实数。,"有限小数,循环小数,无理数,有理数,分数,集合,整数,实数,小数,无限"
3206,不是有理数的实数称为无理数，即无理数的小数部分是无限不循环的数。,"循环的,无理数,有理数,实数,小数,无限"
3207,有理数的小数部分是有限或为无限循环的数。,"循环的,有理数,有限,小数,无限"
3208,"在数的十进制小数表示系统中,有理数就是可表示为有限小数或无限循环小数的数。","有限小数,循环小数,十进制,有理数,小数,无限"
3209,先把这几个数的质因数写出来，最小公倍数等于它们所有的质因数的乘积（如果有几个质因数相同，则比较两数中哪个数有该质因数的个数较多，乘较多的次数）。,"最小公倍数,质因数,乘积"
3210,最小公倍数的计算要把三个数的公有质因数和独有质因数都要找全，最后除到两两互质为止。,"最小公倍数,质因数,互质"
3211,最小公倍数等于2*3*3*5=90又如计算36和270的最小公倍数36=2*2*3*3270=2*3*3*3*5不同的质因数是5。,"最小公倍数,质因数"
3212,首先把两个数的质因数写出来，最小公倍数等于这两个数全部共有的质因数的代表与各自独有的质因数的乘积。,"最小公倍数,质因数,乘积"
3213,把几个数先分别分解质因数，再把各数中的全部公有的质因数和独有的质因数提取出来连乘，所得的积就是这几个数的最小公倍数。,"最小公倍数,质因数,分解"
3214,5，3是他们两者都有的质因数，由于45有两个3，30只有一个3，所以计算最小公倍数的时候乘两个3。,"最小公倍数,质因数"
3215,反比例函数图象是中心对称图形，对称中心是原点。,"中心对称图形,反比例函数,对称中心,原点"
3216,反比例函数的图象也是轴对称图形，其对称轴为y=x或y=-x。,"轴对称图形,反比例函数,对称轴"
3217,反比例函数图象上的点关于坐标原点对称。,"反比例函数,坐标原点,对称"
3218,"反比例函数图象是中心对称图形,对称中心是原点。","中心对称图形,反比例函数,对称中心,原点"
3219,"反比例函数的图象也是轴对称图形,其对称轴为y=x或y=-x。","轴对称图形,反比例函数,对称轴"
3220,反比例函数图象上的点关于坐标原点对称。,"反比例函数,坐标原点,对称"
3221,"反比例函数的图象也是轴对称图形,其对称轴为y=x或y=-x。","轴对称图形,反比例函数,对称轴"
3222,斜边相等的直角三角形中，以等腰直角三角形的面积和周长最大。,"等腰直角三角形,直角三角形,面积,斜边,周长"
3223,"判断一个式子是否是分式,不要看式子是否是A/B的形式,关键要满足:分式的分母中必须含有字母,分子分母均为整式。","分式,分母,分子,整式"
3224,"无需考虑该分式是否有意义,即分母是否为零。","分式,分母"
3225,"分式的分母中必须含有字母,分子分母均为整式。","分式,分母,分子,整式"
3226,"当分式的分子的次数高于分母的次数时,我们把这个分式叫做假分式。","分式,分母,分子"
3227,"一般地,如果A、B(B不等于零)表示两个整式,且B中含有字母,那么式子A/B就叫做分式,其中A称为分子,B称为分母。","分式,分母,分子,整式"
3228,"一个分式的分子和分母没有公因式时,这个分式称为最简分式。","最简分式,公因式,分式,分母,分子"
3229,约分的关键是确定分式中分子与分母的公因式。,"公因式,分式,分母,分子,约分"
3230,"当分式的分子的次数低于分母的次数时,我们把这个分式叫做真分式。","分式,分母,分子"
3231,"当分式的分子的次数高于分母的次数时,我们把这个分式叫做假分式。","分式,分母,分子"
3232,如果分式的分母、分子都是多项式，则将分式的分母、分子分解因式后除以公因式，转化成最简分式。,"最简分式,分解因式,公因式,多项式,除以,分式,分母,分子"
3233,如果分式的分母、分子都是单项式，则将分式的分母、分子同时除以公约数，转化成最简分式。,"最简分式,公约数,单项式,除以,分式,分母,分子"
3234,"分式的乘法法则:两个分式相乘,把分子相乘的积作为积的分子,把分母相乘的积作为积的分母。","乘法法则,分式,分母,分子"
3235,"把一个分式的分子和分母的公因式约去,这种变形称为分式的约分。","公因式,分式,分母,分子,约分"
3236,"两个整式相除,可以表示为A/B。",整式
3237,"如果B中含有字母,那么A/B叫做分式,A叫做分式的分子,B叫做分式的分母。","分式,分母,分子"
3238,"把一个分式的分子与分母的公因数约去的过程,称为分式约分。","公因数,分式,分母,分子,约分"
3239,"同分母分式加减法则:同分母的分式相加减,分母不变,把分子相加减。","同分母,加减法,分式,分母,分子"
3240,分式的分子和分母都是多项式，将分子和分母分别分解因式，再将公因式约去。,"分解因式,公因式,多项式,分式,分母,分子"
3241,一个分式的分子与分母没有非零次的公因式时(即分子与分母互素)叫最简分式。,"最简分式,公因式,分式,非零,分母,分子,互素"
3242,"和分数不能化简一样,叫最简分数。","最简分数,分数"
3243,分式值为-1的条件：分子分母互为相反数，且都不为0。,"相反数,分式,分母,分子"
3244,"两个分式相乘,把分子相乘的积作为积的分子,把分母相乘的积作为积的分母。","分式,分母,分子"
3245,"在化简结果中(利用约分的方法),分子和分母已没有公因式,这样的分式称为最简分式。","最简分式,公因式,结果,分式,分母,分子,约分"
3246,"如果分式的分子和分母都是单项式或者是几个因式乘积的形式,将它们的公因式约去。","公因式,单项式,乘积,分式,因式,分母,分子"
3247,"分式的分子和分母都是多项式,将分子和分母分别分解因式,再将公因式约去。","分解因式,公因式,多项式,分式,分母,分子"
3248,分式值为正(负)数条件：分子分母同号得正，异号得负。,"分式,异号,同号,分母,分子"
3249,分式的分母和分子除以它们的公约数，使之最简化的过程叫作约分，分式中的约分也和数的约分相同，无法再进行约分的分式叫作最简分式。,"最简分式,公约数,除以,简化,分式,分母,分子,约分"
3250,"约分是分式约分,把一个分数的分子、分母同时除以公因数,分数的值不变。","公因数,除以,分数,分式,分母,分子,约分"
3251,分式的分子、分母同时乘以或除以不为0的相同的多项式，分式的值不变。,"多项式,除以,分式,乘以,分母,分子"
3252,约分的关键是确定分式中分子与分母的公因式。,"公因式,分式,分母,分子,约分"
3253,"分式值为正数(负数)条件:分子分母同号得正,异号得负。","分式,异号,负数,同号,分母,正数,分子"
3254,5、当算式中分式的分子与分母都有公因式时，可以先把这个分式约分，再根据情况确定最简公分母。,"最简公分母,公因式,分式,算式,分母,分子,约分"
3255,对于一个分式来说，若分子是一个无理式组成的代数式，采取一些方法将其化为有理式的过程称为分子有理化。,"有理式,有理化,代数式,分式,分子"
3256,"如果分式的分子和分母都是单项式或者是几个因式乘积的形式,将它们的公因式约去。","公因式,单项式,乘积,分式,因式,分母,分子"
3257,一个分式的分子与分母没有非零次的公因式时叫最简分式。,"最简分式,公因式,分式,非零,分母,分子"
3258,"分式值为-1的条件:分子分母互为相反数,且都不为0。","相反数,分式,分母,分子"
3259,即分式乘方，将分子和分母分别乘方。,"分式,分母,乘方,分子"
3260,两个分式相除，把除式的分子和分母颠倒位置后再与被除式相乘。,"被除式,分式,分母,分子,除式"
3261,分式值为0条件：分子为0且分母不为0。,"分式,分母,分子"
3262,（2）单项式是由数字因数和字母因数组成的，单项式不含加减运算，含有除法运算时，分母不含字母，分子不含加减运算，如：就不是单项式，也不是单项式，因为它们都含加减运算（但第二题也不是分式，因为是一个数，所以它是多项式）。,"单项式,多项式,分式,因数,除法,分母,分子"
3263,"分式的通分步骤:先求出所有分式分母的最简公分母,再将所有分式的分母变为最简公分母,同时各分式按照分母所扩大的倍数,相应扩大各自的分子。","最简公分母,分式,通分,分母,分子,倍数"
3264,例如等都是有理式，类似分数的叫法，我们把这样的代数式叫做分式()。,"有理式,代数式,分数,分式"
3265,对于分式，我们规定，分子可以是一个确定的数，也可以是一个式子，但分母却必须是一个含有字母的式子，而不能是一个确定的数。,"分式,分母,分子"
3266,"当分式的分子的次数低于分母的次数时,我们把这个分式叫做真分式。","分式,分母,分子"
3267,分式的分子和分母同时乘以（或除以）同一个不为0的整式，分式的值不变。,"除以,分式,乘以,分母,分子,整式"
3268,分式值为1的条件:分子=分母。,"分式,分母,分子"
3269,"把一个分式的分子、分母同时除以公因数,分式的值不变,这个过程叫约分。","公因数,除以,分式,分母,分子,约分"
3270,当分式的分子的次数低于分母的次数时，我们把这个分式叫做真分式。,"分式,分母,分子"
3271,当分式的分子的次数高于分母的次数时，我们把这个分式叫做假分式。,"分式,分母,分子"
3272,分式值为1的条件：分子=分母≠0。,"分式,分母,分子"
3273,"根据分式基本性质,可以把一个分式的分子和分母的公因式约去,这种变形称为分式的约分。","公因式,分式,分母,分子,约分"
3274,分式值为0条件:分子为0且分母不为0。,"分式,分母,分子"
3275,"两个分式相除,把除式的分子和分母颠倒位置后再与被除式相乘。","被除式,分式,分母,分子,除式"
3276,如果分式的分子和分母都是单项式或者是几个因式乘积的形式，将它们的公因式约去。,"公因式,单项式,乘积,分式,因式,分母,分子"
3277,注意：判断一个式子是否是分式，不要看式子是否是的形式，关键要满足：分式的分母中必须含有字母，分子分母均为整式。,"分式,分母,分子,整式"
3278,"如果A,B表示两个整式,且B中含有字母,那么式子A/B就叫做分式,其中A称为分子,B称为分母。","分式,分母,分子,整式"
3279,"分式的分子和分母同时乘以或除以同一个不为0的整式,分式的值不变。","除以,分式,乘以,分母,分子,整式"
3280,"一般地,如果A、B表示两个整式,且B中含有字母,那么式子A/B就叫做分式,其中A称为分子,B称为分母。","分式,分母,分子,整式"
3281,一般地，如果A、B（B不等于零）表示两个整式，且B中含有字母，那么式子A/B就叫做分式，其中A称为分子，B称为分母。,"分式,不等,分母,分子,整式"
3282,"分式的分子、分母同乘以或除以一个不等于零的式,分式的大小不变。","除以,分式,乘以,不等,分母,分子"
3283,约分是分式约分，把一个分数的分子、分母同时除以公因数，分数的值不变。,"公因数,除以,分数,分式,分母,分子,约分"
3284,"分式的分子和分母同时乘以(或除以)同一个不为0的整式,分式的值不变。","除以,分式,乘以,分母,分子,整式"
3285,"根据分式基本性质,可以把一个分式的分子和分母的公因式约去,这种变形称为分式的约分。","公因式,分式,分母,分子,约分"
3286,约分的关键是确定分式中分子与分母的公因式。,"公因式,分式,分母,分子,约分"
3287,其中A叫做分式的分子，B叫做分式的分母。,"分式,分母,分子"
3288,"分式的分子和分母都是多项式,将分子和分母分别分解因式,再将公因式约去。","分解因式,公因式,多项式,分式,分母,分子"
3289,两个分式相乘，把分子相乘的积作为积的分子，把分母相乘的积作为积的分母。,"分式,分母,分子"
3290,根据分式基本性质，可以把一个分式的分子和分母的公因式约去，这种变形称为分式的约分。,"公因式,分式,分母,分子,约分"
3291,用极坐标系描述的曲线方程称作极坐标方程，通常表示为r为自变量θ的函数。,"极坐标系,极坐标,自变量,方程,曲线,函数"
3292,小数可以分为有限小数、无限小数两类，而无限小数又分无限循环小数与无限不循环小数两类。,"有限小数,无限小数,循环小数,小数,无限"
3293,"循环小数,是从小数部分的某一位起,一个数字或几个数字,依次不断地重复出现的小数。","循环小数,小数"
3294,无限小数分为无限循环小数和无限不循环小数。,"无限小数,循环小数,无限"
3295,2、如结果是循环小数，要根据实际情况保留几位小数就几位小数。,"循环小数,结果,小数"
3296,一个数的小数部分从某一位起，一个或几个数字依次重复出现的无限小数叫循环小数。,"无限小数,循环小数,小数"
3297,如是混循环小数，循环节有几位，分母就有几个9。,"混循环小数,循环节,分母"
3298,不循环的数字有几位，9后面就有几个0，分子是第二个循环节以前的小数部分组成的数与小数部分中不循环部分组成的数的差。,"循环的,循环节,小数,分子"
3299,在数的十进制小数表示系统中，有理数就是可表示为有限小数或无限循环小数的数。,"有限小数,循环小数,十进制,有理数,小数,无限"
3300,"小数分为有限小数,无限循环小数,无限不循环小数(即无理数),其中有限小数和无限循环小数均能化为分数,所以小数即为分数和无理数的集合。","有限小数,循环小数,无理数,分数,集合,小数,无限"
